programme,year,section,venue,faculty,day,period,time,subject,rotation_venues
BDA & CC,I Year,I/II/BDA 'B,ADMIN 602,FACULTY OF ENGINEERING AND TECHNOLOGY,TUE,4,11:10-12:00,,
BDA & CC,I Year,I/II/BDA 'B,ADMIN 602,FACULTY OF ENGINEERING AND TECHNOLOGY,TUE,5,12:40-1:30,21MAB102T /ACCA,
BDA & CC,I Year,I/II/BDA 'B,ADMIN 602,FACULTY OF ENGINEERING AND TECHNOLOGY,TUE,6,1:30-2:20,,
BDA & CC,I Year,I/II/BDA 'B,ADMIN 602,FACULTY OF ENGINEERING AND TECHNOLOGY,TUE,7,2:20-3:05,,
BDA & CC,I Year,I/II/BDA 'B,ADMIN 602,FACULTY OF ENGINEERING AND TECHNOLOGY,TUE,8,3:05-3:50,,
BDA & CC,I Year,I/II/BDA 'B,ADMIN 602,FACULTY OF ENGINEERING AND TECHNOLOGY,WED,1,8:30-9:20,21LEM101T / COI,
BDA & CC,I Year,I/II/BDA 'B,ADMIN 602,FACULTY OF ENGINEERING AND TECHNOLOGY,WED,2,9:20-10:10,21EES101T / BEEE,
BDA & CC,I Year,I/II/BDA 'B,ADMIN 602,FACULTY OF ENGINEERING AND TECHNOLOGY,WED,3,10:20-11:10,21CSC101T / OODP,
BDA & CC,I Year,I/II/BDA 'B,ADMIN 602,FACULTY OF ENGINEERING AND TECHNOLOGY,WED,4,11:10-12:00,21MAB102T /ACCA,
BDA & CC,I Year,I/II/BDA 'B,ADMIN 602,FACULTY OF ENGINEERING AND TECHNOLOGY,WED,5,12:40-1:30,,
BDA & CC,I Year,I/II/BDA 'B,ADMIN 602,FACULTY OF ENGINEERING AND TECHNOLOGY,WED,6,1:30-2:20,"21LEH103T / FRENCH
21LEH104T / GERMAN 
21LEH105T / JAPANESE",
BDA & CC,I Year,I/II/BDA 'B,ADMIN 602,FACULTY OF ENGINEERING AND TECHNOLOGY,WED,7,2:20-3:05,21CYB101J / CHEMISTRY,
BDA & CC,I Year,I/II/BDA 'B,ADMIN 602,FACULTY OF ENGINEERING AND TECHNOLOGY,WED,8,3:05-3:50,,
BDA & CC,I Year,I/II/BDA 'B,ADMIN 602,FACULTY OF ENGINEERING AND TECHNOLOGY,THU,1,8:30-9:20,21EES101T / BEEE,
BDA & CC,I Year,I/II/BDA 'B,ADMIN 602,FACULTY OF ENGINEERING AND TECHNOLOGY,THU,2,9:20-10:10,21CYM101T / EVS,
BDA & CC,I Year,I/II/BDA 'B,ADMIN 602,FACULTY OF ENGINEERING AND TECHNOLOGY,THU,3,10:20-11:10,21CYB101J / CHEMISTRY,
BDA & CC,I Year,I/II/BDA 'B,ADMIN 602,FACULTY OF ENGINEERING AND TECHNOLOGY,THU,4,11:10-12:00,21MAB102T /ACCA,
BDA & CC,I Year,I/II/BDA 'B,ADMIN 602,FACULTY OF ENGINEERING AND TECHNOLOGY,THU,5,12:40-1:30,,
BDA & CC,I Year,I/II/BDA 'B,ADMIN 602,FACULTY OF ENGINEERING AND TECHNOLOGY,THU,6,1:30-2:20,21MES101L / WORKSHOP,
BDA & CC,I Year,I/II/BDA 'B,ADMIN 602,FACULTY OF ENGINEERING AND TECHNOLOGY,THU,7,2:20-3:05,,
BDA & CC,I Year,I/II/BDA 'B,ADMIN 602,FACULTY OF ENGINEERING AND TECHNOLOGY,THU,8,3:05-3:50,,
BDA & CC,I Year,I/II/BDA 'B,ADMIN 602,FACULTY OF ENGINEERING AND TECHNOLOGY,FRI,1,8:30-9:20,21CSC101T / OODP,
BDA & CC,I Year,I/II/BDA 'B,ADMIN 602,FACULTY OF ENGINEERING AND TECHNOLOGY,FRI,2,9:20-10:10,21MAB102T /ACCA,
BDA & CC,I Year,I/II/BDA 'B,ADMIN 602,FACULTY OF ENGINEERING AND TECHNOLOGY,FRI,3,10:20-11:10,"21LEH103T / FRENCH
21LEH104T / GERMAN 
21LEH105T / JAPANESE",
BDA & CC,I Year,I/II/BDA 'B,ADMIN 602,FACULTY OF ENGINEERING AND TECHNOLOGY,FRI,4,11:10-12:00,,
BDA & CC,I Year,I/II/BDA 'B,ADMIN 602,FACULTY OF ENGINEERING AND TECHNOLOGY,FRI,5,12:40-1:30,21CYB101J / CHEMISTRY,
BDA & CC,I Year,I/II/BDA 'B,ADMIN 602,FACULTY OF ENGINEERING AND TECHNOLOGY,FRI,6,1:30-2:20,,
BDA & CC,I Year,I/II/BDA 'B,ADMIN 602,FACULTY OF ENGINEERING AND TECHNOLOGY,FRI,7,2:20-3:05,,
BDA & CC,I Year,I/II/BDA 'B,ADMIN 602,FACULTY OF ENGINEERING AND TECHNOLOGY,FRI,8,3:05-3:50,,
BDA & CC,I Year,I/II/ BDA 'C,ADMIN 602,FACULTY OF ENGINEERING AND TECHNOLOGY,MON,1,8:30-9:20,21EES101T / BEEE,
BDA & CC,I Year,I/II/ BDA 'C,ADMIN 602,FACULTY OF ENGINEERING AND TECHNOLOGY,MON,2,9:20-10:10,21CYM101T / EVS,
BDA & CC,I Year,I/II/ BDA 'C,ADMIN 602,FACULTY OF ENGINEERING AND TECHNOLOGY,MON,3,10:20-11:10,21MAB102T /ACCA,
BDA & CC,I Year,I/II/ BDA 'C,ADMIN 602,FACULTY OF ENGINEERING AND TECHNOLOGY,MON,4,11:10-12:00,21MAB102T /ACCA,
BDA & CC,I Year,I/II/ BDA 'C,ADMIN 602,FACULTY OF ENGINEERING AND TECHNOLOGY,MON,5,12:40-1:30,21CYB101J / CHEMISTRY,
BDA & CC,I Year,I/II/ BDA 'C,ADMIN 602,FACULTY OF ENGINEERING AND TECHNOLOGY,MON,6,1:30-2:20,21CSC101T / OODP,
BDA & CC,I Year,I/II/ BDA 'C,ADMIN 602,FACULTY OF ENGINEERING AND TECHNOLOGY,MON,7,2:20-3:05,21LEM101T / COI,
BDA & CC,I Year,I/II/ BDA 'C,ADMIN 602,FACULTY OF ENGINEERING AND TECHNOLOGY,MON,8,3:05-3:50,,
BDA & CC,I Year,I/II/ BDA 'C,ADMIN 602,FACULTY OF ENGINEERING AND TECHNOLOGY,TUE,1,8:30-9:20,,
BDA & CC,I Year,I/II/ BDA 'C,ADMIN 602,FACULTY OF ENGINEERING AND TECHNOLOGY,TUE,2,9:20-10:10,,
BDA & CC,I Year,I/II/ BDA 'C,ADMIN 602,FACULTY OF ENGINEERING AND TECHNOLOGY,TUE,3,10:20-11:10,,
BDA & CC,I Year,I/II/ BDA 'C,ADMIN 602,FACULTY OF ENGINEERING AND TECHNOLOGY,TUE,4,11:10-12:00,21MES101L / WORKSHOP,
BDA & CC,I Year,I/II/ BDA 'C,ADMIN 602,FACULTY OF ENGINEERING AND TECHNOLOGY,TUE,5,12:40-1:30,21MES101L / WORKSHOP,
BDA & CC,I Year,I/II/ BDA 'C,ADMIN 602,FACULTY OF ENGINEERING AND TECHNOLOGY,TUE,6,1:30-2:20,,
BDA & CC,I Year,I/II/ BDA 'C,ADMIN 602,FACULTY OF ENGINEERING AND TECHNOLOGY,TUE,7,2:20-3:05,21CYB101J / CHEMISTRY,
BDA & CC,I Year,I/II/ BDA 'C,ADMIN 602,FACULTY OF ENGINEERING AND TECHNOLOGY,TUE,8,3:05-3:50,,
BDA & CC,I Year,I/II/ BDA 'C,ADMIN 602,FACULTY OF ENGINEERING AND TECHNOLOGY,WED,1,8:30-9:20,21MAB102T /ACCA,
BDA & CC,I Year,I/II/ BDA 'C,ADMIN 602,FACULTY OF ENGINEERING AND TECHNOLOGY,WED,2,9:20-10:10,21EES101T / BEEE,
BDA & CC,I Year,I/II/ BDA 'C,ADMIN 602,FACULTY OF ENGINEERING AND TECHNOLOGY,WED,3,10:20-11:10,21CYB101J / CHEMISTRY,
BDA & CC,I Year,I/II/ BDA 'C,ADMIN 602,FACULTY OF ENGINEERING AND TECHNOLOGY,WED,4,11:10-12:00,21CSC101T / OODP,
BDA & CC,I Year,I/II/ BDA 'C,ADMIN 602,FACULTY OF ENGINEERING AND TECHNOLOGY,WED,5,12:40-1:30,,
BDA & CC,I Year,I/II/ BDA 'C,ADMIN 602,FACULTY OF ENGINEERING AND TECHNOLOGY,WED,6,1:30-2:20,21MAB102T /ACCA,
BDA & CC,I Year,I/II/ BDA 'C,ADMIN 602,FACULTY OF ENGINEERING AND TECHNOLOGY,WED,7,2:20-3:05,,
BDA & CC,I Year,I/II/ BDA 'C,ADMIN 602,FACULTY OF ENGINEERING AND TECHNOLOGY,WED,8,3:05-3:50,,
BDA & CC,I Year,I/II/ BDA 'C,ADMIN 602,FACULTY OF ENGINEERING AND TECHNOLOGY,THU,1,8:30-9:20,"21LEH103T / FRENCH
21LEH104T / GERMAN 
21LEH105T / JAPANESE",
BDA & CC,I Year,I/II/ BDA 'C,ADMIN 602,FACULTY OF ENGINEERING AND TECHNOLOGY,THU,2,9:20-10:10,,
BDA & CC,I Year,I/II/ BDA 'C,ADMIN 602,FACULTY OF ENGINEERING AND TECHNOLOGY,THU,3,10:20-11:10,21EES101T / BEEE,
BDA & CC,I Year,I/II/ BDA 'C,ADMIN 602,FACULTY OF ENGINEERING AND TECHNOLOGY,THU,4,11:10-12:00,21CSC101T / OODP,
BDA & CC,I Year,I/II/ BDA 'C,ADMIN 602,FACULTY OF ENGINEERING AND TECHNOLOGY,THU,5,12:40-1:30,21CYB101J / CHEMISTRY,
BDA & CC,I Year,I/II/ BDA 'C,ADMIN 602,FACULTY OF ENGINEERING AND TECHNOLOGY,THU,6,1:30-2:20,,
BDA & CC,I Year,I/II/ BDA 'C,ADMIN 602,FACULTY OF ENGINEERING AND TECHNOLOGY,THU,7,2:20-3:05,21CYB101J / CHEMISTRY,
BDA & CC,I Year,I/II/ BDA 'C,ADMIN 602,FACULTY OF ENGINEERING AND TECHNOLOGY,THU,8,3:05-3:50,,
BDA & CC,I Year,I/II/ BDA 'C,ADMIN 602,FACULTY OF ENGINEERING AND TECHNOLOGY,FRI,1,8:30-9:20,,
BDA & CC,I Year,I/II/ BDA 'C,ADMIN 602,FACULTY OF ENGINEERING AND TECHNOLOGY,FRI,2,9:20-10:10,,
BDA & CC,I Year,I/II/ BDA 'C,ADMIN 602,FACULTY OF ENGINEERING AND TECHNOLOGY,FRI,3,10:20-11:10,,
BDA & CC,I Year,I/II/ BDA 'C,ADMIN 602,FACULTY OF ENGINEERING AND TECHNOLOGY,FRI,4,11:10-12:00,,
BDA & CC,I Year,I/II/ BDA 'C,ADMIN 602,FACULTY OF ENGINEERING AND TECHNOLOGY,FRI,5,12:40-1:30,"21LEH103T / FRENCH
21LEH104T / GERMAN 
21LEH105T / JAPANESE",
BDA & CC,I Year,I/II/ BDA 'C,ADMIN 602,FACULTY OF ENGINEERING AND TECHNOLOGY,FRI,6,1:30-2:20,21EES101T / BEEE,
BDA & CC,I Year,I/II/ BDA 'C,ADMIN 602,FACULTY OF ENGINEERING AND TECHNOLOGY,FRI,7,2:20-3:05,21PDM102L / GENERAL APTITUDE,
BDA & CC,I Year,I/II/ BDA 'C,ADMIN 602,FACULTY OF ENGINEERING AND TECHNOLOGY,FRI,8,3:05-3:50,,
BDA & CC,I Year,I/II/CC 'A,ADMIN 603,FACULTY OF ENGINEERING AND TECHNOLOGY,MON,1,8:30-9:20,,
BDA & CC,I Year,I/II/CC 'A,ADMIN 603,FACULTY OF ENGINEERING AND TECHNOLOGY,MON,2,9:20-10:10,,
BDA & CC,I Year,I/II/CC 'A,ADMIN 603,FACULTY OF ENGINEERING AND TECHNOLOGY,MON,3,10:20-11:10,,
BDA & CC,I Year,I/II/CC 'A,ADMIN 603,FACULTY OF ENGINEERING AND TECHNOLOGY,MON,4,11:10-12:00,,
BDA & CC,I Year,I/II/CC 'A,ADMIN 603,FACULTY OF ENGINEERING AND TECHNOLOGY,MON,5,12:40-1:30,21CSC101T / OODP,
BDA & CC,I Year,I/II/CC 'A,ADMIN 603,FACULTY OF ENGINEERING AND TECHNOLOGY,MON,6,1:30-2:20,21MAB102T /ACCA,
BDA & CC,I Year,I/II/CC 'A,ADMIN 603,FACULTY OF ENGINEERING AND TECHNOLOGY,MON,7,2:20-3:05,21EES101T / BEEE,
BDA & CC,I Year,I/II/CC 'A,ADMIN 603,FACULTY OF ENGINEERING AND TECHNOLOGY,MON,8,3:05-3:50,21CYB101J / CHEMISTRY,
BDA & CC,I Year,I/II/CC 'A,ADMIN 603,FACULTY OF ENGINEERING AND TECHNOLOGY,TUE,1,8:30-9:20,21PDM102L / GENERAL APTITUDE,
BDA & CC,I Year,I/II/CC 'A,ADMIN 603,FACULTY OF ENGINEERING AND TECHNOLOGY,TUE,2,9:20-10:10,,
BDA & CC,I Year,I/II/CC 'A,ADMIN 603,FACULTY OF ENGINEERING AND TECHNOLOGY,TUE,3,10:20-11:10,21MAB102T /ACCA,
BDA & CC,I Year,I/II/CC 'A,ADMIN 603,FACULTY OF ENGINEERING AND TECHNOLOGY,TUE,4,11:10-12:00,21MAB102T /ACCA,
BDA & CC,I Year,I/II/CC 'A,ADMIN 603,FACULTY OF ENGINEERING AND TECHNOLOGY,TUE,5,12:40-1:30,21EES101T / BEEE,
BDA & CC,I Year,I/II/CC 'A,ADMIN 603,FACULTY OF ENGINEERING AND TECHNOLOGY,TUE,6,1:30-2:20,21CYM101T / EVS,
BDA & CC,I Year,I/II/CC 'A,ADMIN 603,FACULTY OF ENGINEERING AND TECHNOLOGY,TUE,7,2:20-3:05,21CYB101J / CHEMISTRY,
BDA & CC,I Year,I/II/CC 'A,ADMIN 603,FACULTY OF ENGINEERING AND TECHNOLOGY,TUE,8,3:05-3:50,,
BDA & CC,I Year,I/II/CC 'A,ADMIN 603,FACULTY OF ENGINEERING AND TECHNOLOGY,WED,1,8:30-9:20,21EES101T / BEEE,
BDA & CC,I Year,I/II/CC 'A,ADMIN 603,FACULTY OF ENGINEERING AND TECHNOLOGY,WED,2,9:20-10:10,21CSC101T / OODP,
BDA & CC,I Year,I/II/CC 'A,ADMIN 603,FACULTY OF ENGINEERING AND TECHNOLOGY,WED,3,10:20-11:10,21CYB101J / CHEMISTRY,
BDA & CC,I Year,I/II/CC 'A,ADMIN 603,FACULTY OF ENGINEERING AND TECHNOLOGY,WED,4,11:10-12:00,21LEM101T / COI,
BDA & CC,I Year,I/II/CC 'A,ADMIN 603,FACULTY OF ENGINEERING AND TECHNOLOGY,WED,5,12:40-1:30,,
BDA & CC,I Year,I/II/CC 'A,ADMIN 603,FACULTY OF ENGINEERING AND TECHNOLOGY,WED,6,1:30-2:20,,
BDA & CC,I Year,I/II/CC 'A,ADMIN 603,FACULTY OF ENGINEERING AND TECHNOLOGY,WED,7,2:20-3:05,,
BDA & CC,I Year,I/II/CC 'A,ADMIN 603,FACULTY OF ENGINEERING AND TECHNOLOGY,WED,8,3:05-3:50,,
BDA & CC,I Year,I/II/CC 'A,ADMIN 603,FACULTY OF ENGINEERING AND TECHNOLOGY,THU,1,8:30-9:20,"21LEH103T / FRENCH
21LEH104T / GERMAN 
21LEH105T / JAPANESE",
BDA & CC,I Year,I/II/CC 'A,ADMIN 603,FACULTY OF ENGINEERING AND TECHNOLOGY,THU,2,9:20-10:10,,
BDA & CC,I Year,I/II/CC 'A,ADMIN 603,FACULTY OF ENGINEERING AND TECHNOLOGY,THU,3,10:20-11:10,21EES101T / BEEE,
BDA & CC,I Year,I/II/CC 'A,ADMIN 603,FACULTY OF ENGINEERING AND TECHNOLOGY,THU,4,11:10-12:00,21CSC101T / OODP,
BDA & CC,I Year,I/II/CC 'A,ADMIN 603,FACULTY OF ENGINEERING AND TECHNOLOGY,THU,5,12:40-1:30,,
BDA & CC,I Year,I/II/CC 'A,ADMIN 603,FACULTY OF ENGINEERING AND TECHNOLOGY,THU,6,1:30-2:20,,
BDA & CC,I Year,I/II/CC 'A,ADMIN 603,FACULTY OF ENGINEERING AND TECHNOLOGY,THU,7,2:20-3:05,,
BDA & CC,I Year,I/II/CC 'A,ADMIN 603,FACULTY OF ENGINEERING AND TECHNOLOGY,THU,8,3:05-3:50,,
BDA & CC,I Year,I/II/CC 'A,ADMIN 603,FACULTY OF ENGINEERING AND TECHNOLOGY,FRI,1,8:30-9:20,21MES102L / ENGINEERING GRAPHICS,
BDA & CC,I Year,I/II/CC 'A,ADMIN 603,FACULTY OF ENGINEERING AND TECHNOLOGY,FRI,2,9:20-10:10,,
BDA & CC,I Year,I/II/CC 'A,ADMIN 603,FACULTY OF ENGINEERING AND TECHNOLOGY,FRI,3,10:20-11:10,21MES102L / ENGINEERING GRAPHICS,
BDA & CC,I Year,I/II/CC 'A,ADMIN 603,FACULTY OF ENGINEERING AND TECHNOLOGY,FRI,4,11:10-12:00,21CYB101J / CHEMISTRY,
BDA & CC,I Year,I/II/CC 'A,ADMIN 603,FACULTY OF ENGINEERING AND TECHNOLOGY,FRI,5,12:40-1:30,"21LEH103T / FRENCH
21LEH104T / GERMAN 
21LEH105T / JAPANESE",
BDA & CC,I Year,I/II/CC 'A,ADMIN 603,FACULTY OF ENGINEERING AND TECHNOLOGY,FRI,6,1:30-2:20,21MAB102T /ACCA,
BDA & CC,I Year,I/II/CC 'A,ADMIN 603,FACULTY OF ENGINEERING AND TECHNOLOGY,FRI,7,2:20-3:05,21CYB101J / CHEMISTRY,
BDA & CC,I Year,I/II/CC 'A,ADMIN 603,FACULTY OF ENGINEERING AND TECHNOLOGY,FRI,8,3:05-3:50,,
BDA & CC,I Year,I/II/CC 'B,ADMIN 506,FACULTY OF ENGINEERING AND TECHNOLOGY,MON,1,8:30-9:20,21EES101T / BEEE,
BDA & CC,I Year,I/II/CC 'B,ADMIN 506,FACULTY OF ENGINEERING AND TECHNOLOGY,MON,2,9:20-10:10,21CYB101J / CHEMISTRY,
BDA & CC,I Year,I/II/CC 'B,ADMIN 506,FACULTY OF ENGINEERING AND TECHNOLOGY,MON,3,10:20-11:10,21PDM102L / GENERAL APTITUDE,
BDA & CC,I Year,I/II/CC 'B,ADMIN 506,FACULTY OF ENGINEERING AND TECHNOLOGY,MON,4,11:10-12:00,,
BDA & CC,I Year,I/II/CC 'B,ADMIN 506,FACULTY OF ENGINEERING AND TECHNOLOGY,MON,5,12:40-1:30,,
BDA & CC,I Year,I/II/CC 'B,ADMIN 506,FACULTY OF ENGINEERING AND TECHNOLOGY,MON,6,1:30-2:20,21MES102L / ENGINEERING GRAPHICS,
BDA & CC,I Year,I/II/CC 'B,ADMIN 506,FACULTY OF ENGINEERING AND TECHNOLOGY,MON,7,2:20-3:05,,
BDA & CC,I Year,I/II/CC 'B,ADMIN 506,FACULTY OF ENGINEERING AND TECHNOLOGY,MON,8,3:05-3:50,,
BDA & CC,I Year,I/II/CC 'B,ADMIN 506,FACULTY OF ENGINEERING AND TECHNOLOGY,TUE,1,8:30-9:20,21MAB102T /ACCA,
BDA & CC,I Year,I/II/CC 'B,ADMIN 506,FACULTY OF ENGINEERING AND TECHNOLOGY,TUE,2,9:20-10:10,21CSC101T / OODP,
BDA & CC,I Year,I/II/CC 'B,ADMIN 506,FACULTY OF ENGINEERING AND TECHNOLOGY,TUE,3,10:20-11:10,21EES101T / BEEE,
BDA & CC,I Year,I/II/CC 'B,ADMIN 506,FACULTY OF ENGINEERING AND TECHNOLOGY,TUE,4,11:10-12:00,21CYB101J / CHEMISTRY,
BDA & CC,I Year,I/II/CC 'B,ADMIN 506,FACULTY OF ENGINEERING AND TECHNOLOGY,TUE,5,12:40-1:30,21MAB102T /ACCA,
BDA & CC,I Year,I/II/CC 'B,ADMIN 506,FACULTY OF ENGINEERING AND TECHNOLOGY,TUE,6,1:30-2:20,21LEM101T / COI,
